Network,Customer,Action,VLAN,Current Devices,Current Interfaces,New Devices,New Interfaces,Dependencies
96.30.240.240/28,Recur360,Migrate to Data Holdings,,,,,,
96.30.241.128/25,,Clean Up,,,,,,
96.30.252.0/28,SIFI Networks,,,,,,,
96.30.252.32/27,Vivent Health,Migrate to Data Holdings,,,,,,
96.30.252.80/28,,Clean Up,,,,,,
96.30.252.112/29,KMC Stampings,,,,,,,
96.30.252.152/30,,Clean Up,,,,,,
96.30.252.156/30,Peerless,,,,,,,
96.30.252.160/28,,Clean Up,,,,,,
96.30.253.16/29,,Clean Up,,,,,,
96.30.253.24/29,,Clean Up,,,,,,
96.30.253.152/30,Kohler-ISP,Migrate to 3rd floor cabinet,,,,,,
96.30.253.156/30,SSCHC,Migrate to Data Holdings,,,,,,
96.30.253.160/29,Ascedia 100D,Migrate to Data Holdings,,,,,,
96.30.253.168/29,Everstream,Migrate to 3rd floor cabinet,,,,,,
96.30.253.224/27,324EWisconsin,Migrate to 3rd floor cabinet,,,,,,
96.30.254.12/30,,Clean Up,,,,,,
96.30.254.16/28,Inpro,Migrate to Data Holdings,,,,,,
96.30.254.56/30,1Neck,Migrate to 3rd floor cabinet,,,,,,
96.30.254.64/28,Inpro Legacy,Clean Up,,,,,,
96.30.254.96/27,Inpro HQ,Migrate to Data Holdings,,,,,,
96.30.254.128/25,,Clean Up,,,,,,
192.31.237.0/24,Ascedia 100D,Migrate to Data Holdings,,,,,,